"Dateiname:","Seitenzahl:","Kommentar:"
"0012.xml","12.","Seitenzahl nicht erkannt"
"0013.xml","13",""
"0029.xml","29",""
"0030.xml","30",""
"0031.xml","31",""
"0032.xml","32",""
"0038.xml","42",""
"0039.xml","42",""
"0040.xml","42",""
"0041.xml","42",""
"0047.xml","42",""
"0048.xml","42",""
"0057.xml","42",""
"0058.xml","42",""
"0064.xml","42",""
"0065.xml","42",""
"0071.xml","42",""
"0072.xml","42",""
"0078.xml","42",""
"0079.xml","42",""
"0084.xml","42",""
"0085.xml","42",""
"0092.xml","42",""
"0093.xml","42",""
"0096.xml","42",""
"0097.xml","42",""
"0104.xml","42",""
"0105.xml","42",""
"0106.xml","42",""
"0107.xml","42",""
"0108.xml","42",""
"0109.xml","42",""
"0110.xml","42",""
"0111.xml","42",""
"0112.xml","42",""
"0113.xml","42",""
"0114.xml","42",""
"0115.xml","42",""
"0116.xml","42",""
"0117.xml","42",""
"0118.xml","42",""
"0119.xml","42",""
"0122.xml","42",""
"0123.xml","42",""
"0127.xml","42",""
"0128.xml","42",""
"0134.xml","42",""
"0135.xml","42",""
"0140.xml","42",""
"0141.xml","42",""
"0142.xml","42",""
"0143.xml","42",""
"0144.xml","42",""
"0145.xml","42",""
"0150.xml","42",""
"0151.xml","42",""
"0155.xml","42",""
"0156.xml","42",""
"0163.xml","42",""
"0164.xml","42",""
"0165.xml","42",""
"0166.xml","42",""
"0167.xml","42",""
"0168.xml","42",""
"0169.xml","42",""
"0170.xml","42",""
"0171.xml","42",""
"0172.xml","42",""
"0173.xml","42",""
"0174.xml","42",""
"0175.xml","42",""
"0176.xml","42",""
"0177.xml","42",""
"0178.xml","42",""
"0179.xml","42",""
"0180.xml","42",""
"0181.xml","42",""
"0182.xml","42",""
"0183.xml","42",""
"0184.xml","42",""
"0191.xml","42",""
"0192.xml","42",""
"0195.xml","42",""
"0196.xml","42",""
"0199.xml","42",""
"0216.xml","","Seitenzahl nicht erkannt"
"0217.xml","","Seitenzahl nicht erkannt"
"0218.xml","","Seitenzahl nicht erkannt"
"0219.xml","","Seitenzahl nicht erkannt"
"0220.xml","","Seitenzahl nicht erkannt"
"0221.xml","","Seitenzahl nicht erkannt"
"0222.xml","","Seitenzahl nicht erkannt"
"0223.xml","","Seitenzahl nicht erkannt"
